 ,ID,Temp_1,Temp_2,Ave_temp,Length,Width,Weight,Microplastic_load,Adjusted_microplastic_load,Parasite_load,Body _index,Predicted_weight,Sex
2/24/2022,1D,28.4,28.4,28.4,26.98,16.61,3.6,59849.422,59299.381,1,1.261175649,2.854479471,F
2/24/2022,2D,29.5,29.4,29.45,16.58,8.81,0.58,8571.775,8021.734,3,1.261175649,1.644913249,M
2/24/2022,3D,30.2,30.2,30.2,15.75,9.9,0.7,46905.942,46355.901,2,0.352602181,0.766839791,M
2/24/2022,4D,29.9,29.9,29.9,22.65,14.08,2.19,42188.593,41638.552,0,1.096867912,1.996594098,F
2/24/2022,5D,30.8,31,30.9,30.04,17.13,3.57,25334.221,24784.18,6,1.004164897,3.555192987,F
2/24/2022,6D,31.9,32.2,32.05,17.05,9.57,0.73,8933.275,8383.234,3,1.004164897,1.946591046,M
2/24/2022,7D,32.2,32.5,32.35,19.56,11.47,1.38,6010.267,5460.226,0,0.932709064,1.479561048,F
2/24/2022,8D,32.3,32.8,32.55,17.73,10.22,0.81,5233.38,4683.339,3,0.932709064,0.993617861,M
2/24/2022,9D,32.5,32.8,32.65,31.26,16.52,3.16,52201.023,51650.982,1,0.815202737,0.851831951,F
2/24/2022,10D,33.2,32.9,33.05,14.36,9.1,0.62,30622.956,30072.915,2,3.709651882,2.071922807,M
2/24/2022,11D,32.8,33,32.9,14.28,8.1,0.82,37719.835,37169.794,0,1.05409266,0.777920226,F
2/24/2022,12D,33.6,34,33.8,12.77,6.54,0.54,30994.206,30444.165,4,1.05409266,0.606804574,M
2/24/2022,13D,33.4,33.6,33.5,17.81,9.33,1.29,2726.707,2176.666,0,1.055915601,1.22168855,F
2/24/2022,14D,33.1,33.5,33.3,20.26,12.2,2.12,7282.044,6732.003,2,1.333523195,1.589773622,F
2/24/2022,15D,33.6,33.6,33.6,14.18,7.19,0.61,2820.988,2270.947,2,0.79548295,0.766829761,F
2/24/2022,16D,33.2,33.4,33.3,26.97,13.3,2.97,24503.173,23953.132,0,1.041258344,2.852318081,F
2/24/2022,17D,33.4,33.6,33.5,19.29,10.57,1.53,4495.918,3945.877,0,1.063881294,1.43813037,F
2/24/2022,18D,33.7,33.9,33.8,14.7,8.15,0.93,93762.793,93212.752,0,1.126742099,0.825388526,F
2/24/2022,19D,33.7,33.8,33.75,18.08,9.2,1.31,NA,NA,1,1.039821599,1.259831495,F
2/24/2022,20D,33.8,34,33.9,13.89,8.29,0.93,4036.071,3486.03,2,1.039821599,0.878335966,M
2/24/2022,21D,33.9,34.1,34,13.92,7.01,0.66,5323.287,4773.246,3,1.058820355,0.581031066,M
2/24/2022,22D,34.1,34.2,34.15,10.52,6.51,0.49,5017.737,4467.696,1,1.135911724,0.582999243,M
2/24/2022,23D,34.4,34.5,34.45,12.17,6.58,0.56,32810.888,32260.847,0,0.840481366,0.375867975,M
2/24/2022,24D,34.3,34.5,34.4,14.87,7.71,0.86,6459.176,5909.135,0,1.489884846,0.472293867,M
02/12/2022,1A,32.1,32.2,32.15,30.84,16.47,3.73,38816.183,38266.142,17,0.994311641,3.751338964,F
02/12/2022,2A,33.7,33.9,33.8,28.9,15.26,3.28,5933.909,5383.868,5,0.998486884,3.28497054,F
02/12/2022,3A,35.5,35.5,35.5,15.3,8.77,0.65,7437.959,6887.918,6,0.998486884,1.832057636,M
02/12/2022,4A,34.7,34.3,34.5,16.19,9.97,0.7,7531.914,6981.873,1,0.354792331,0.676103528,M
02/12/2022,5A,NA,NA,NA,16.14,9.32,0.71,39773.013,39222.972,0,1.035344397,0.738756584,M
02/12/2022,6A,30.3,30.2,30.25,21.3,13.82,2.55,1574.18,1024.139,4,1.448048872,1.760990288,F
02/12/2022,7A,34.2,34.2,34.2,18.36,11.12,1.22,85959.153,85409.112,1,1.448048872,1.135612186,M
02/12/2022,8A,34.8,34.5,34.65,20.82,12.85,1.73,16045.641,15495.6,2,1.029237308,1.680856287,F
02/12/2022,9A,35,34.4,34.7,15.98,9.64,0.71,4834.323,4284.282,0,1.029237308,1.095757728,M
02/12/2022,10A,35,34.3,34.65,19.1,11.6,1.36,28961.881,28411.84,0,0.964993776,1.409335515,F
02/12/2022,11A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
02/12/2022,12A,NA,NA,NA,22.05,11.95,1.58,11200.268,10650.227,0,0.835971343,1.89001694,F
02/12/2022,13A,34.9,34.2,34.55,24.23,13.75,2.54,66060.107,65510.066,5,1.108422846,2.291544251,F
02/12/2022,14A,34.3,34,34.15,29.27,12.73,1.73,128487.221,127937.18,1,0.51312791,3.371479053,F
02/12/2022,15A,32,32,32,18.11,10.38,0.84,12899.156,12349.115,0,0.51312791,1.868954931,M
02/12/2022,16A,34.6,34.6,34.6,19.42,12.75,1.88,656.288,106.247,0,1.289434511,1.458003477,F
02/12/2022,17A,35.3,35.3,35.3,14.05,9.27,0.64,49854.286,49304.245,2,1.289434511,0.982493509,M
02/12/2022,18A,33.6,33.6,33.6,28.48,16.25,3.98,4271.16,3721.119,4,1.248367931,3.18816264,F
2/13/2022,1B,31.3,31.3,31.3,13.74,7.7,0.43,2679.061,-6460.966,0,1.248367931,1.790497941,M
2/13/2022,2B,29.4,29.2,29.3,28.66,16.27,3.89,23996.534,14856.507,8,1.204531754,3.229470695,F
2/13/2022,3B,30.3,30.4,30.35,25.05,14.85,3.02,98724.514,89584.487,12,1.23124418,2.452803471,F
2/13/2022,4B',33.5,33.3,33.4,16.53,9.59,0.82,62839.807,53699.78,1,1.23124418,1.464263005,M
2/13/2022,5B,33.3,33.5,33.4,25.65,12.92,2,28629.752,19488.725,2,0.776895949,2.574347316,F
2/13/2022,6B,33.3,33.3,33.3,24.03,12.32,1.79,7477.59,-1662.437,0,0.794474448,2.253061762,F
2/13/2022,7B,33.6,33.6,33.6,16.55,9.11,0.7,36751.671,27611.644,0,0.794474448,1.371896392,M
2/13/2022,8B,33.4,33.6,33.5,26.11,14.95,2.78,104770.377,95630.35,3,1.041368406,2.669564376,F
2/13/2022,9B,34.3,34.2,34.25,30.35,17.15,3.76,10539.544,92399.517,1,1.035652518,3.630561345,F
2/13/2022,10B,34.3,34.3,34.3,13.52,8.88,0.54,40370.718,31230.691,8,1.035652518,1.978169005,M
2/13/2022,11B,34.1,34.1,34.1,16.37,9.14,0.75,34957.963,25817.936,1,0.272979709,0.556955786,M
2/13/2022,12B,34.5,34.8,34.65,24.26,13.45,1.96,194739.45,185599.423,1,0.853158633,2.297345328,F
2/13/2022,13B,34.6,34.9,34.75,14.62,9.45,0.57,49540.846,40400.819,0,0.853158633,1.392533617,M
2/16/2022,1C,28.1,28,28.05,18.07,10.33,0.77,25491.002,19583.625,1,0.409325846,0.629602386,M
2/16/2022,2C,29.5,29.8,29.65,29.2,17.32,4.19,129644.115,123736.738,5,1.248873141,3.355024511,F
2/16/2022,3C,29.9,30.2,30.05,17.16,10.62,0.81,23979.562,18072.185,2,1.248873141,1.861953947,M
2/16/2022,4C,29.9,30.2,30.05,25.73,13.78,1.96,29623.766,23716.389,1,0.756528928,2.590779979,F
2/16/2022,5C,30.2,30.4,30.3,27.46,14.43,2.14,83322.3,77414.923,3,0.723166097,2.959209523,F
2/16/2022,6C,30.1,30.4,30.25,14.8,9.81,0.79,6835.452,928.075,2,0.723166097,1.691013477,M
2/16/2022,7C,30.2,30.6,30.4,29.27,16.4,3.53,122319.287,116411.91,10,1.047018221,3.371479053,F
2/16/2022,8C,30.2,30.5,30.35,24.91,13.54,2.38,5474.477,-432.9,0,0.981493895,2.424874991,F
2/16/2022,9C,30.3,30.5,30.4,16.9,11.8,1,6740.572,833.195,0,0.981493895,1.451456532,M
2/16/2022,10C,30.3,30.9,30.6,19.82,10.56,0.89,10401.949,4494.572,2,0.688963106,0.790164428,M
2/16/2022,11C,30.4,31,30.7,26.7,14.33,2.1,33444.289,27536.912,0,0.751536222,2.794276494,F
2/16/2022,12C,30.8,31,30.9,16.3,8.73,0.9,227067.617,221160.24,0,0.88287793,1.019393474,F
2/16/2022,13C,31,31.5,31.25,19.41,12.97,1.45,35277.138,29369.761,0,0.995557867,1.456469832,F
2/16/2022,14C,31.3,31.5,31.4,15.44,9.22,0.68,24840.495,18933.118,0,0.995557867,0.981700648,M
2/16/2022,15C,31.3,31.6,31.45,16.9,9.23,0.65,34514.649,28607.272,0,0.692675513,0.685825495,M
2/16/2022,16C,31.5,31.7,31.6,16.49,10.37,0.73,23690.914,17783.537,2,0.947762959,0.790164428,M
2/16/2022,17C,31.5,32.1,31.8,14.59,9.02,0.61,4744.716,-1162.661,2,0.923858344,0.760325418,M
2/16/2022,18C,32.1,32.4,32.25,13.54,8.5,0.54,201467.457,195560.08,1,0.802288054,0.627578589,M
2/16/2022,19C,32.4,32.1,32.25,16.03,8.2,0.53,56451.72,50544.343,9,0.860450006,0.558247707,M
2/16/2022,20C,32,32.1,32.05,17.11,10.05,0.74,6734.087,826.71,3,0.949399331,0.727345333,M
2/16/2022,21C,32.4,32.5,32.45,16.79,9.07,0.67,2389.269,-3518.108,0,1.01739843,0.805608275,M
2/16/2022,22C,32.3,32.5,32.4,15.88,8.14,0.52,145062.921,139155.544,2,0.831669709,0.782118061,M
3/22/2022,1E,29.5,29.6,29.55,27.2,13.82,3.18,12894.669,11977.293,2,1.095704793,2.902241572,F
3/22/2022,2E,29.7,29.7,29.7,25.5,13.71,2.04,17149.73,16232.354,0,0.801987685,2.543679956,F
3/22/2022,3E,30.5,30.5,30.5,23.91,13.49,1.88,537.976,-379.4,0,0.842999437,2.230131977,F
3/22/2022,4E,30.2,30.3,30.25,24.89,15.48,3.2,2721.212,1803.836,7,1.321823261,2.420898539,F
3/22/2022,5E,30.2,30.3,30.25,28.75,16.2,3.16,2865.439,1948.063,5,0.972239919,3.250226553,F
3/22/2022,6E,30.5,30.6,30.55,25.8,14.42,2.21,5361.801,4444.425,0,0.848302626,2.605202356,F
3/22/2022,7E,30.1,30.2,30.15,26.29,15.6,3.01,6168.039,5250.663,5,1.111807179,2.707303979,F
3/22/2022,8E,30.1,30.2,30.15,19.17,12.9,1.42,3310.191,2392.815,3,1.000063701,1.41990955,F
3/22/2022,9E,30.1,30.2,30.15,28.3,17.06,2.95,44042.394,43125.018,1,0.937363148,3.147126071,F
3/22/2022,10E,30.8,31,30.9,16.09,8.47,0.55,90380.24,89462.864,1,0.937363148,1.772792528,M
3/22/2022,11E,30.4,30.7,30.55,30.74,16.18,3.39,7555.339,6637.963,0,0.909694309,3.726526558,F
3/22/2022,12E,30.9,31,30.95,23.77,14.2,1.94,3193.946,2276.57,5,0.880404768,2.20353191,F
3/22/2022,13E,31.3,31.4,31.35,16.22,10.11,0.7,663.574,-253.802,1,0.880404768,1.348701974,M
3/22/2022,14E,31.2,31.3,31.25,26.91,14.36,3.13,1072.312,154.936,3,1.102358263,2.839367295,F
3/22/2022,15E,31.7,31.9,31.8,24.53,14.24,2.63,2537.974,1620.598,5,1.119200334,2.349892079,F
3/22/2022,16E,31.4,31.6,31.5,27.86,15.68,4.16,12050.231,11132.855,0,1.36484869,3.047956913,F
3/22/2022,17E,31.6,32.2,31.9,21.5,12.89,1.45,55415.439,54498.063,0,0.807825541,1.79494201,F
3/22/2022,18E,33.4,33.5,33.45,16.08,10.1,0.7,6610.904,5693.528,5,0.807825541,1.152369873,M
3/22/2022,19E,33.2,33,33.1,15.28,10.01,0.69,102824.182,101906.806,2,0.607443857,0.730904439,M
3/22/2022,20E,32.5,32.7,32.6,15.67,9.67,0.74,38009.02,37091.644,0,0.786807194,0.940509957,F
