Date ,ID,Microplastic,Area,Total Area
,7,,0.104,175.361
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.104,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.208,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.312,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.416,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.52,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.624,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.728,
,,,0.832,
,,,0.832,
,,,0.832,
,,,0.832,
,,,0.832,
,,,0.832,
,,,0.832,
,,,0.832,
,,,0.832,
,,,0.832,
,,,0.832,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
,,,0.937,
